Entropy/Alpha Feasible Region Boundary
File Size: 4096

Entropy,Alpha
0.000000,0.000000
0.007663,0.087848
0.014081,0.175524
0.020023,0.263030
0.025654,0.350365
0.031051,0.437530
0.036261,0.524526
0.041313,0.611354
0.046230,0.698013
0.051028,0.784504
0.055719,0.870827
0.060314,0.956984
0.064821,1.042974
0.069246,1.128799
0.073597,1.214458
0.077877,1.299952
0.082091,1.385281
0.086244,1.470447
0.090338,1.555449
0.094376,1.640288
0.098362,1.724964
0.102297,1.809478
0.106184,1.893831
0.110025,1.978022
0.113821,2.062053
0.117575,2.145923
0.121288,2.229633
0.124961,2.313184
0.128596,2.396576
0.132195,2.479810
0.135757,2.562886
0.139285,2.645804
0.142778,2.728565
0.146240,2.811169
0.149669,2.893617
0.153067,2.975909
0.156436,3.058046
0.159774,3.140028
0.163085,3.221856
0.166367,3.303529
0.169622,3.385049
0.172850,3.466416
0.176052,3.547630
0.179229,3.628692
0.182380,3.709602
0.185507,3.790360
0.188611,3.870968
0.191690,3.951425
0.194747,4.031731
0.197781,4.111888
0.200793,4.191896
0.203783,4.271754
0.206752,4.351464
0.209700,4.431026
0.212627,4.510441
0.215534,4.589708
0.218421,4.668828
0.221288,4.747802
0.224136,4.826630
0.226965,4.905312
0.229775,4.983849
0.232567,5.062241
0.235341,5.140488
0.238097,5.218592
0.240836,5.296552
0.243557,5.374368
0.246261,5.452042
0.248948,5.529574
0.251619,5.606963
0.254273,5.684211
0.256911,5.761317
0.259533,5.838282
0.262139,5.915107
0.264730,5.991792
0.267306,6.068337
0.269866,6.144743
0.272412,6.221010
0.274942,6.297138
0.277458,6.373128
0.279960,6.448980
0.282448,6.524694
0.284921,6.600272
0.287380,6.675712
0.289826,6.751017
0.292258,6.826185
0.294677,6.901218
0.297083,6.976115
0.299475,7.050878
0.301855,7.125506
0.304221,7.200000
0.306575,7.274360
0.308916,7.348587
0.311245,7.422680
0.313562,7.496641
0.315866,7.570470
0.318159,7.644166
0.320439,7.717731
0.322708,7.791165
0.324965,7.864467
0.327210,7.937639
0.329444,8.010681
0.331666,8.083593
0.333878,8.156375
0.336078,8.229028
0.338267,8.301552
0.340445,8.373948
0.342613,8.446215
0.344769,8.518355
0.346915,8.590367
0.349051,8.662252
0.351176,8.734010
0.353291,8.805641
0.355395,8.877147
0.357490,8.948526
0.359574,9.019780
0.361649,9.090909
0.363713,9.161913
0.365768,9.232793
0.367813,9.303548
0.369848,9.374179
0.371874,9.444687
0.373890,9.515072
0.375897,9.585334
0.377895,9.655473
0.379883,9.725490
0.381862,9.795385
0.383832,9.865159
0.385794,9.934811
0.387746,10.004342
0.389689,10.073753
0.391623,10.143043
0.393549,10.212213
0.395466,10.281264
0.397375,10.350195
0.399275,10.419006
0.401166,10.487700
0.403049,10.556274
0.404924,10.624731
0.406791,10.693069
0.408649,10.761290
0.410499,10.829394
0.412341,10.897381
0.414175,10.965251
0.416001,11.033005
0.417819,11.100642
0.419629,11.168164
0.421432,11.235571
0.423227,11.302862
0.425014,11.370038
0.426793,11.437100
0.428565,11.504048
0.430329,11.570881
0.432086,11.637601
0.433836,11.704207
0.435578,11.770701
0.437312,11.837081
0.439040,11.903349
0.440760,11.969504
0.442473,12.035548
0.444179,12.101480
0.445878,12.167300
0.447570,12.233010
0.449255,12.298608
0.450933,12.364096
0.452604,12.429474
0.454268,12.494741
0.455926,12.559899
0.457576,12.624948
0.459220,12.689887
0.460858,12.754717
0.462489,12.819439
0.464113,12.884052
0.465730,12.948557
0.467342,13.012954
0.468946,13.077244
0.470544,13.141427
0.472136,13.205502
0.473722,13.269471
0.475301,13.333333
0.476874,13.397089
0.478441,13.460740
0.480002,13.524284
0.481556,13.587723
0.483105,13.651057
0.484647,13.714286
0.486184,13.777410
0.487714,13.840430
0.489238,13.903346
0.490757,13.966158
0.492270,14.028866
0.493776,14.091471
0.495277,14.153973
0.496772,14.216372
0.498262,14.278668
0.499746,14.340862
0.501224,14.402954
0.502696,14.464945
0.504163,14.526833
0.505624,14.588621
0.507080,14.650307
0.508530,14.711892
0.509975,14.773377
0.511414,14.834761
0.512848,14.896046
0.514277,14.957230
0.515700,15.018315
0.517118,15.079301
0.518530,15.140187
0.519937,15.200974
0.521339,15.261663
0.522736,15.322254
0.524128,15.382746
0.525514,15.443140
0.526896,15.503437
0.528272,15.563636
0.529643,15.623738
0.531009,15.683743
0.532371,15.743652
0.533727,15.803464
0.535078,15.863179
0.536424,15.922799
0.537766,15.982322
0.539102,16.041750
0.540434,16.101083
0.541761,16.160321
0.543083,16.219463
0.544400,16.278511
0.545713,16.337465
0.547021,16.396324
0.548324,16.455090
0.549622,16.513761
0.550916,16.572340
0.552205,16.630824
0.553490,16.689216
0.554770,16.747515
0.556045,16.805721
0.557316,16.863835
0.558583,16.921856
0.559845,16.979786
0.561102,17.037624
0.562356,17.095370
0.563604,17.153025
0.564848,17.210589
0.566088,17.268062
0.567324,17.325444
0.568555,17.382736
0.569782,17.439937
0.571005,17.497048
0.572223,17.554070
0.573437,17.611002
0.574647,17.667845
0.575853,17.724598
0.577055,17.781262
0.578252,17.837838
0.579445,17.894325
0.580635,17.950724
0.581820,18.007034
0.583001,18.063257
0.584178,18.119391
0.585351,18.175439
0.586520,18.231399
0.587685,18.287271
0.588846,18.343057
0.590003,18.398756
0.591156,18.454369
0.592305,18.509895
0.593450,18.565335
0.594591,18.620690
0.595729,18.675958
0.596863,18.731141
0.597992,18.786239
0.599119,18.841251
0.600241,18.896179
0.601359,18.951022
0.602474,19.005780
0.603585,19.060454
0.604692,19.115044
0.605796,19.169550
0.606896,19.223972
0.607992,19.278311
0.609085,19.332566
0.610174,19.386738
0.611259,19.440827
0.612341,19.494834
0.613419,19.548757
0.614493,19.602598
0.615564,19.656357
0.616632,19.710034
0.617696,19.763629
0.618756,19.817143
0.619813,19.870575
0.620867,19.923925
0.621917,19.977195
0.622964,20.030384
0.624007,20.083491
0.625047,20.136519
0.626083,20.189466
0.627116,20.242332
0.628146,20.295119
0.629172,20.347826
0.630195,20.400453
0.631215,20.453001
0.632231,20.505470
0.633244,20.557859
0.634254,20.610169
0.635261,20.662401
0.636264,20.714554
0.637264,20.766629
0.638261,20.818626
0.639255,20.870544
0.640245,20.922385
0.641233,20.974148
0.642217,21.025833
0.643198,21.077441
0.644176,21.128972
0.645151,21.180426
0.646122,21.231803
0.647091,21.283103
0.648056,21.334327
0.649019,21.385475
0.649978,21.436546
0.650934,21.487542
0.651888,21.538462
0.652838,21.589306
0.653785,21.640074
0.654730,21.690768
0.655671,21.741386
0.656609,21.791929
0.657545,21.842397
0.658477,21.892791
0.659407,21.943110
0.660334,21.993355
0.661257,22.043526
0.662178,22.093623
0.663096,22.143646
0.664011,22.193596
0.664924,22.243472
0.665833,22.293275
0.666740,22.343004
0.667643,22.392661
0.668544,22.442244
0.669443,22.491755
0.670338,22.541194
0.671231,22.590560
0.672120,22.639854
0.673008,22.689076
0.673892,22.738226
0.674774,22.787304
0.675653,22.836311
0.676529,22.885246
0.677402,22.934110
0.678273,22.982903
0.679141,23.031625
0.680007,23.080276
0.680870,23.128857
0.681730,23.177367
0.682588,23.225806
0.683443,23.274176
0.684295,23.322476
0.685145,23.370705
0.685992,23.418865
0.686837,23.466956
0.687679,23.514977
0.688519,23.562928
0.689356,23.610811
0.690190,23.658624
0.691022,23.706369
0.691851,23.754045
0.692678,23.801653
0.693503,23.849192
0.694325,23.896663
0.695144,23.944066
0.695961,23.991401
0.696776,24.038668
0.697588,24.085868
0.698397,24.133000
0.699205,24.180064
0.700010,24.227062
0.700812,24.273992
0.701612,24.320856
0.702410,24.367652
0.703205,24.414382
0.703998,24.461046
0.704788,24.507643
0.705576,24.554174
0.706362,24.600639
0.707146,24.647038
0.707927,24.693371
0.708706,24.739639
0.709482,24.785841
0.710257,24.831977
0.711028,24.878049
0.711798,24.924055
0.712566,24.969996
0.713331,25.015873
0.714094,25.061685
0.714854,25.107432
0.715613,25.153115
0.716369,25.198734
0.717123,25.244288
0.717874,25.289779
0.718624,25.335205
0.719371,25.380568
0.720116,25.425868
0.720859,25.471103
0.721600,25.516276
0.722339,25.561385
0.723075,25.606431
0.723810,25.651415
0.724542,25.696335
0.725272,25.741193
0.726000,25.785988
0.726726,25.830721
0.727449,25.875392
0.728171,25.920000
0.728890,25.964546
0.729608,26.009031
0.730323,26.053454
0.731037,26.097815
0.731748,26.142114
0.732457,26.186353
0.733164,26.230530
0.733869,26.274645
0.734572,26.318700
0.735273,26.362694
0.735972,26.406628
0.736669,26.450500
0.737364,26.494312
0.738057,26.538064
0.738749,26.581756
0.739438,26.625387
0.740125,26.668958
0.740810,26.712470
0.741493,26.755922
0.742174,26.799314
0.742853,26.842647
0.743531,26.885920
0.744206,26.929134
0.744880,26.972289
0.745551,27.015385
0.746221,27.058422
0.746889,27.101400
0.747554,27.144319
0.748218,27.187180
0.748881,27.229983
0.749541,27.272727
0.750199,27.315413
0.750856,27.358041
0.751510,27.400612
0.752163,27.443124
0.752814,27.485579
0.753463,27.527976
0.754110,27.570315
0.754756,27.612597
0.755399,27.654822
0.756041,27.696990
0.756681,27.739101
0.757319,27.781155
0.757956,27.823152
0.758590,27.865093
0.759223,27.906977
0.759854,27.948804
0.760484,27.990576
0.761111,28.032291
0.761737,28.073950
0.762361,28.115553
0.762983,28.157100
0.763604,28.198591
0.764223,28.240027
0.764840,28.281407
0.765455,28.322732
0.766069,28.364001
0.766681,28.405216
0.767291,28.446375
0.767900,28.487479
0.768507,28.528529
0.769112,28.569523
0.769716,28.610463
0.770318,28.651349
0.770918,28.692180
0.771516,28.732956
0.772113,28.773679
0.772709,28.814347
0.773302,28.854962
0.773894,28.895522
0.774485,28.936029
0.775073,28.976482
0.775660,29.016882
0.776246,29.057228
0.776830,29.097521
0.777412,29.137760
0.777993,29.177947
0.778572,29.218080
0.779149,29.258160
0.779725,29.298188
0.780300,29.338163
0.780872,29.378085
0.781443,29.417955
0.782013,29.457772
0.782581,29.497537
0.783148,29.537250
0.783713,29.576910
0.784276,29.616519
0.784838,29.656076
0.785398,29.695581
0.785957,29.735034
0.786515,29.774436
0.787070,29.813786
0.787625,29.853085
0.788178,29.892333
0.788729,29.931529
0.789279,29.970674
0.789827,30.009769
0.790374,30.048812
0.790919,30.087805
0.791463,30.126747
0.792006,30.165638
0.792546,30.204479
0.793086,30.243270
0.793624,30.282010
0.794161,30.320700
0.794696,30.359340
0.795229,30.397929
0.795762,30.436469
0.796292,30.474960
0.796822,30.513400
0.797350,30.551791
0.797876,30.590132
0.798401,30.628424
0.798925,30.666667
0.799448,30.704860
0.799968,30.743004
0.800488,30.781099
0.801006,30.819146
0.801523,30.857143
0.802038,30.895091
0.802552,30.932991
0.803065,30.970843
0.803576,31.008646
0.804086,31.046400
0.804595,31.084106
0.805102,31.121764
0.805608,31.159374
0.806112,31.196936
0.806615,31.234450
0.807117,31.271916
0.807617,31.309334
0.808117,31.346705
0.808614,31.384028
0.809111,31.421304
0.809606,31.458532
0.810100,31.495713
0.810592,31.532847
0.811084,31.569933
0.811574,31.606973
0.812062,31.643966
0.812550,31.680912
0.813036,31.717811
0.813520,31.754663
0.814004,31.791469
0.814486,31.828229
0.814967,31.864942
0.815447,31.901608
0.815925,31.938229
0.816402,31.974803
0.816878,32.011331
0.817353,32.047814
0.817826,32.084250
0.818299,32.120641
0.818769,32.156986
0.819239,32.193285
0.819708,32.229539
0.820175,32.265747
0.820641,32.301910
0.821106,32.338028
0.821569,32.374101
0.822031,32.410128
0.822493,32.446111
0.822953,32.482048
0.823411,32.517941
0.823869,32.553789
0.824325,32.589592
0.824780,32.625350
0.825234,32.661064
0.825687,32.696734
0.826139,32.732359
0.826589,32.767940
0.827038,32.803477
0.827486,32.838970
0.827933,32.874419
0.828379,32.909823
0.828824,32.945184
0.829267,32.980501
0.829709,33.015775
0.830151,33.051005
0.830591,33.086191
0.831029,33.121334
0.831467,33.156433
0.831904,33.191489
0.832339,33.226502
0.832773,33.261472
0.833207,33.296399
0.833639,33.331283
0.834070,33.366124
0.834500,33.400922
0.834928,33.435677
0.835356,33.470390
0.835783,33.505060
0.836208,33.539687
0.836632,33.574273
0.837056,33.608815
0.837478,33.643316
0.837899,33.677774
0.838319,33.712191
0.838738,33.746565
0.839155,33.780897
0.839572,33.815188
0.839988,33.849436
0.840403,33.883643
0.840816,33.917808
0.841229,33.951932
0.841640,33.986014
0.842050,34.020055
0.842460,34.054054
0.842868,34.088012
0.843275,34.121929
0.843681,34.155805
0.844087,34.189640
0.844491,34.223433
0.844894,34.257186
0.845296,34.290898
0.845697,34.324569
0.846097,34.358200
0.846496,34.391790
0.846894,34.425339
0.847291,34.458848
0.847687,34.492317
0.848082,34.525745
0.848476,34.559133
0.848869,34.592481
0.849260,34.625789
0.849651,34.659057
0.850041,34.692285
0.850430,34.725473
0.850818,34.758621
0.851205,34.791729
0.851591,34.824798
0.851976,34.857827
0.852360,34.890817
0.852743,34.923767
0.853125,34.956678
0.853506,34.989549
0.853887,35.022381
0.854266,35.055174
0.854644,35.087928
0.855021,35.120643
0.855398,35.153319
0.855773,35.185957
0.856147,35.218555
0.856521,35.251114
0.856893,35.283635
0.857265,35.316118
0.857636,35.348561
0.858005,35.380966
0.858374,35.413333
0.858742,35.445662
0.859109,35.477952
0.859475,35.510204
0.859840,35.542418
0.860204,35.574594
0.860568,35.606732
0.860930,35.638832
0.861291,35.670894
0.861652,35.702918
0.862012,35.734904
0.862370,35.766853
0.862728,35.798764
0.863085,35.830638
0.863441,35.862474
0.863796,35.894273
0.864150,35.926035
0.864504,35.957759
0.864856,35.989446
0.865208,36.021096
0.865559,36.052709
0.865908,36.084284
0.866257,36.115823
0.866605,36.147325
0.866953,36.178791
0.867299,36.210219
0.867644,36.241611
0.867989,36.272966
0.868333,36.304284
0.868676,36.335567
0.869018,36.366812
0.869359,36.398022
0.869699,36.429195
0.870039,36.460331
0.870377,36.491432
0.870715,36.522496
0.871052,36.553525
0.871388,36.584517
0.871724,36.615474
0.872058,36.646394
0.872392,36.677279
0.872724,36.708128
0.873056,36.738942
0.873388,36.769720
0.873718,36.800462
0.874047,36.831169
0.874376,36.861840
0.874704,36.892476
0.875031,36.923077
0.875357,36.953642
0.875683,36.984173
0.876007,37.014668
0.876331,37.045128
0.876654,37.075553
0.876976,37.105943
0.877298,37.136298
0.877618,37.166619
0.877938,37.196905
0.878257,37.227156
0.878576,37.257372
0.878893,37.287554
0.879210,37.317701
0.879526,37.347814
0.879841,37.377892
0.880155,37.407936
0.880469,37.437946
0.880781,37.467921
0.881093,37.497863
0.881405,37.527770
0.881715,37.557643
0.882025,37.587482
0.882334,37.617287
0.882642,37.647059
0.882950,37.676796
0.883256,37.706500
0.883562,37.736170
0.883867,37.765807
0.884172,37.795409
0.884475,37.824979
0.884778,37.854515
0.885081,37.884017
0.885382,37.913486
0.885683,37.942922
0.885983,37.972324
0.886282,38.001693
0.886580,38.031030
0.886878,38.060333
0.887175,38.089603
0.887472,38.118840
0.887767,38.148044
0.888062,38.177215
0.888356,38.206354
0.888650,38.235459
0.888942,38.264532
0.889234,38.293573
0.889525,38.322581
0.889816,38.351556
0.890106,38.380499
0.890395,38.409409
0.890683,38.438287
0.890971,38.467133
0.891258,38.495946
0.891544,38.524728
0.891830,38.553477
0.892115,38.582194
0.892399,38.610879
0.892683,38.639532
0.892966,38.668153
0.893248,38.696742
0.893529,38.725299
0.893810,38.753825
0.894090,38.782319
0.894369,38.810781
0.894648,38.839211
0.894926,38.867610
0.895204,38.895978
0.895480,38.924314
0.895756,38.952618
0.896032,38.980892
0.896306,39.009134
0.896580,39.037344
0.896854,39.065524
0.897126,39.093672
0.897398,39.121790
0.897670,39.149876
0.897940,39.177931
0.898210,39.205955
0.898480,39.233949
0.898748,39.261911
0.899017,39.289843
0.899284,39.317744
0.899551,39.345615
0.899817,39.373454
0.900082,39.401263
0.900347,39.429042
0.900611,39.456790
0.900875,39.484508
0.901138,39.512195
0.901400,39.539852
0.901662,39.567479
0.901923,39.595075
0.902183,39.622642
0.902443,39.650178
0.902702,39.677684
0.902960,39.705160
0.903218,39.732606
0.903476,39.760022
0.903732,39.787408
0.903988,39.814764
0.904244,39.842091
0.904498,39.869388
0.904752,39.896655
0.905006,39.923892
0.905259,39.951100
0.905511,39.978279
0.905763,40.005427
0.906014,40.032547
0.906264,40.059637
0.906514,40.086697
0.906764,40.113729
0.907012,40.140731
0.907260,40.167704
0.907508,40.194647
0.907755,40.221562
0.908001,40.248447
0.908247,40.275304
0.908492,40.302131
0.908736,40.328930
0.908980,40.355699
0.909223,40.382440
0.909466,40.409152
0.909708,40.435835
0.909950,40.462490
0.910191,40.489116
0.910431,40.515713
0.910671,40.542282
0.910910,40.568822
0.911149,40.595334
0.911387,40.621817
0.911625,40.648272
0.911862,40.674699
0.912098,40.701097
0.912334,40.727467
0.912569,40.753809
0.912804,40.780123
0.913038,40.806409
0.913271,40.832666
0.913504,40.858896
0.913737,40.885097
0.913969,40.911271
0.914200,40.937417
0.914431,40.963535
0.914661,40.989625
0.914891,41.015687
0.915120,41.041722
0.915348,41.067729
0.915576,41.093709
0.915804,41.119660
0.916031,41.145585
0.916257,41.171482
0.916483,41.197351
0.916708,41.223193
0.916933,41.249008
0.917157,41.274795
0.917381,41.300555
0.917604,41.326288
0.917827,41.351994
0.918049,41.377672
0.918270,41.403324
0.918491,41.428948
0.918712,41.454545
0.918932,41.480116
0.919151,41.505659
0.919370,41.531176
0.919588,41.556666
0.919806,41.582129
0.920024,41.607565
0.920240,41.632975
0.920457,41.658357
0.920672,41.683714
0.920888,41.709043
0.921102,41.734346
0.921317,41.759623
0.921530,41.784873
0.921743,41.810097
0.921956,41.835294
0.922168,41.860465
0.922380,41.885610
0.922591,41.910728
0.922802,41.935821
0.923012,41.960887
0.923222,41.985927
0.923431,42.010940
0.923639,42.035928
0.923848,42.060890
0.924055,42.085826
0.924262,42.110736
0.924469,42.135620
0.924675,42.160478
0.924881,42.185310
0.925086,42.210117
0.925291,42.234898
0.925495,42.259653
0.925699,42.284382
0.925902,42.309086
0.926105,42.333765
0.926307,42.358417
0.926509,42.383045
0.926710,42.407647
0.926911,42.432223
0.927111,42.456774
0.927311,42.481300
0.927511,42.505800
0.927709,42.530276
0.927908,42.554726
0.928106,42.579151
0.928303,42.603550
0.928500,42.627925
0.928697,42.652274
0.928893,42.676599
0.929089,42.700899
0.929284,42.725173
0.929478,42.749423
0.929673,42.773648
0.929866,42.797848
0.930060,42.822023
0.930253,42.846174
0.930445,42.870299
0.930637,42.894400
0.930828,42.918477
0.931019,42.942529
0.931210,42.966556
0.931400,42.990559
0.931590,43.014537
0.931779,43.038491
0.931968,43.062420
0.932156,43.086325
0.932344,43.110206
0.932531,43.134063
0.932718,43.157895
0.932904,43.181703
0.933091,43.205486
0.933276,43.229246
0.933461,43.252981
0.933646,43.276693
0.933830,43.300380
0.934014,43.324044
0.934198,43.347683
0.934381,43.371298
0.934563,43.394890
0.934745,43.418458
0.934927,43.442002
0.935108,43.465522
0.935289,43.489018
0.935469,43.512491
0.935649,43.535939
0.935829,43.559365
0.936008,43.582766
0.936187,43.606145
0.936365,43.629499
0.936543,43.652830
0.936720,43.676138
0.936897,43.699422
0.937073,43.722683
0.937250,43.745920
0.937425,43.769134
0.937601,43.792325
0.937775,43.815493
0.937950,43.838637
0.938124,43.861758
0.938298,43.884856
0.938471,43.907931
0.938644,43.930983
0.938816,43.954011
0.938988,43.977017
0.939160,44.000000
0.939331,44.022960
0.939501,44.045897
0.939672,44.068811
0.939842,44.091702
0.940011,44.114570
0.940180,44.137416
0.940349,44.160239
0.940517,44.183039
0.940685,44.205817
0.940853,44.228571
0.941020,44.251304
0.941187,44.274013
0.941353,44.296701
0.941519,44.319365
0.941685,44.342007
0.941850,44.364627
0.942014,44.387225
0.942179,44.409800
0.942343,44.432352
0.942506,44.454883
0.942670,44.477391
0.942832,44.499877
0.942995,44.522340
0.943157,44.544782
0.943318,44.567201
0.943480,44.589598
0.943641,44.611973
0.943801,44.634327
0.943961,44.656658
0.944121,44.678967
0.944280,44.701254
0.944439,44.723519
0.944598,44.745763
0.944756,44.767984
0.944914,44.790184
0.945071,44.812362
0.945228,44.834518
0.945385,44.856653
0.945541,44.878766
0.945697,44.900857
0.945853,44.922926
0.946008,44.944974
0.946163,44.967001
0.946318,44.989006
0.946472,45.010989
0.946625,45.032951
0.946779,45.054891
0.946932,45.076811
0.947084,45.098708
0.947237,45.120585
0.947389,45.142440
0.947540,45.164274
0.947691,45.186086
0.947842,45.207877
0.947993,45.229648
0.948143,45.251397
0.948293,45.273125
0.948442,45.294831
0.948591,45.316517
0.948740,45.338182
0.948888,45.359826
0.949036,45.381448
0.949184,45.403050
0.949331,45.424631
0.949478,45.446191
0.949624,45.467730
0.949771,45.489249
0.949917,45.510746
0.950062,45.532223
0.950207,45.553679
0.950352,45.575115
0.950497,45.596529
0.950641,45.617923
0.950784,45.639297
0.950928,45.660650
0.951071,45.681982
0.951214,45.703294
0.951356,45.724585
0.951498,45.745856
0.951640,45.767107
0.951781,45.788337
0.951923,45.809547
0.952063,45.830736
0.952204,45.851905
0.952344,45.873054
0.952483,45.894182
0.952623,45.915291
0.952762,45.936379
0.952901,45.957447
0.953039,45.978495
0.953177,45.999522
0.953315,46.020530
0.953452,46.041518
0.953589,46.062485
0.953726,46.083433
0.953862,46.104360
0.953999,46.125268
0.954134,46.146156
0.954270,46.167024
0.954405,46.187872
0.954540,46.208700
0.954674,46.229508
0.954808,46.250297
0.954942,46.271066
0.955076,46.291815
0.955209,46.312544
0.955342,46.333254
0.955474,46.353945
0.955606,46.374615
0.955738,46.395266
0.955870,46.415898
0.956001,46.436510
0.956132,46.457102
0.956263,46.477675
0.956393,46.498229
0.956523,46.518763
0.956653,46.539278
0.956782,46.559774
0.956911,46.580250
0.957040,46.600707
0.957169,46.621144
0.957297,46.641563
0.957425,46.661962
0.957552,46.682342
0.957679,46.702703
0.957806,46.723044
0.957933,46.743367
0.958059,46.763670
0.958185,46.783955
0.958311,46.804220
0.958436,46.824467
0.958562,46.844694
0.958686,46.864903
0.958811,46.885092
0.958935,46.905263
0.959059,46.925415
0.959183,46.945548
0.959306,46.965662
0.959429,46.985758
0.959552,47.005834
0.959674,47.025892
0.959796,47.045931
0.959918,47.065952
0.960040,47.085954
0.960161,47.105937
0.960282,47.125902
0.960402,47.145848
0.960523,47.165775
0.960643,47.185684
0.960763,47.205575
0.960882,47.225447
0.961001,47.245301
0.961120,47.265136
0.961239,47.284952
0.961357,47.304751
0.961475,47.324531
0.961593,47.344293
0.961711,47.364036
0.961828,47.383761
0.961945,47.403468
0.962061,47.423157
0.962178,47.442827
0.962294,47.462480
0.962410,47.482114
0.962525,47.501730
0.962640,47.521328
0.962755,47.540908
0.962870,47.560470
0.962985,47.580014
0.963099,47.599540
0.963212,47.619048
0.963326,47.638538
0.963439,47.658010
0.963552,47.677464
0.963665,47.696900
0.963778,47.716319
0.963890,47.735719
0.964002,47.755102
0.964113,47.774467
0.964225,47.793814
0.964336,47.813144
0.964447,47.832456
0.964557,47.851750
0.964668,47.871027
0.964778,47.890286
0.964887,47.909527
0.964997,47.928751
0.965106,47.947957
0.965215,47.967146
0.965324,47.986317
0.965432,48.005471
0.965541,48.024607
0.965648,48.043726
0.965756,48.062827
0.965863,48.081911
0.965971,48.100978
0.966077,48.120027
0.966184,48.139059
0.966290,48.158074
0.966396,48.177072
0.966502,48.196052
0.966608,48.215015
0.966713,48.233961
0.966818,48.252889
0.966923,48.271801
0.967028,48.290695
0.967132,48.309572
0.967236,48.328432
0.967340,48.347276
0.967443,48.366102
0.967546,48.384911
0.967649,48.403703
0.967752,48.422478
0.967855,48.441236
0.967957,48.459977
0.968059,48.478702
0.968161,48.497409
0.968262,48.516100
0.968363,48.534774
0.968465,48.553431
0.968565,48.572071
0.968666,48.590695
0.968766,48.609301
0.968866,48.627891
0.968966,48.646465
0.969065,48.665021
0.969165,48.683561
0.969264,48.702085
0.969362,48.720592
0.969461,48.739082
0.969559,48.757555
0.969657,48.776013
0.969755,48.794453
0.969853,48.812877
0.969950,48.831285
0.970047,48.849676
0.970144,48.868051
0.970241,48.886409
0.970337,48.904751
0.970433,48.923077
0.970529,48.941386
0.970625,48.959679
0.970720,48.977956
0.970815,48.996216
0.970910,49.014461
0.971005,49.032688
0.971100,49.050900
0.971194,49.069096
0.971288,49.087275
0.971382,49.105438
0.971475,49.123586
0.971569,49.141717
0.971662,49.159832
0.971755,49.177930
0.971847,49.196013
0.971940,49.214080
0.972032,49.232131
0.972124,49.250166
0.972215,49.268185
0.972307,49.286188
0.972398,49.304175
0.972489,49.322146
0.972580,49.340102
0.972671,49.358041
0.972761,49.375965
0.972851,49.393873
0.972941,49.411765
0.973031,49.429641
0.973120,49.447502
0.973209,49.465347
0.973298,49.483176
0.973387,49.500989
0.973476,49.518787
0.973564,49.536569
0.973652,49.554336
0.973740,49.572087
0.973828,49.589822
0.973915,49.607542
0.974003,49.625247
0.974090,49.642935
0.974176,49.660609
0.974263,49.678267
0.974349,49.695909
0.974436,49.713536
0.974521,49.731148
0.974607,49.748744
0.974693,49.766325
0.974778,49.783890
0.974863,49.801440
0.974948,49.818975
0.975033,49.836494
0.975117,49.853999
0.975201,49.871488
0.975285,49.888961
0.975369,49.906420
0.975453,49.923863
0.975536,49.941292
0.975619,49.958705
0.975702,49.976103
0.975785,49.993485
0.975867,50.010853
0.975950,50.028206
0.976032,50.045543
0.976114,50.062866
0.976196,50.080173
0.976277,50.097466
0.976358,50.114743
0.976439,50.132006
0.976520,50.149254
0.976601,50.166486
0.976681,50.183704
0.976762,50.200907
0.976842,50.218095
0.976922,50.235269
0.977001,50.252427
0.977081,50.269571
